,period,last_idx,time
0,0,5656573,0.0007954798229500001
1,1,50085877,0.0006954821747100001
2,2,104677355,0.00079548506392
3,3,138772452,0.0010954868680999998
4,4,187641819,0.0005954894541
5,5,218652629,0.0010954910954
6,6,245829584,0.0004954925329900001
7,7,307838916,0.00069549581485
8,8,338276286,0.00019549742592
9,9,375377847,0.00049549938876
10,10,419368879,0.00019550171692
11,11,461811622,9.550396316600001e-05
12,12,495800224,9.5505761692e-05
13,13,528777114,0.0008955075072699999
14,14,585568143,0.00059551051299
15,15,621985672,0.0005955124393
